price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age
30990,toyota,siennalminivan4d,good,6 cylinders,gas,4015.0,clean,other,5TDZZ3DC2JS906927,fwd,van,silver,3.0
6499,ford,edge,excellent,6 cylinders,gas,145961.0,clean,automatic,2FMDK39C18BB33625,fwd,SUV,white,13.0
35990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,6933.0,clean,other,2C3CDZBT0LH119099,rwd,coupe,white,1.0
33877,chevrolet,express2500cargovan,like new,8 cylinders,gas,11714.0,clean,automatic,1GCWGAFG7K1286071,rwd,van,white,2.0
20999,mini,coopersconvertible,like new,4 cylinders,gas,19200.0,clean,manual,WMWZP3C53FT299029,fwd,convertible,red,6.0
24995,bmw,328igtxdriveawd,excellent,4 cylinders,gas,31818.0,clean,automatic,WBA8Z5C54FD671554,4wd,hatchback,silver,6.0
17990,gmc,acadia,good,6 cylinders,gas,76839.0,clean,automatic,1GKKRPKD2GJ143371,fwd,SUV,white,5.0
38990,chevrolet,expresscommercialcutaway,good,8 cylinders,gas,134000.0,clean,automatic,1GB6G5CG6D1136715,rwd,truck,white,8.0
6995,kia,soul,excellent,4 cylinders,gas,90502.0,clean,manual,KNDJT2A18B7268352,fwd,wagon,silver,10.0
6999,ford,fiestase,excellent,4 cylinders,gas,84974.0,clean,automatic,3FADP4EJ0BM238135,fwd,hatchback,red,10.0
35990,toyota,4runnersr5sportutility,good,6 cylinders,gas,33556.0,clean,other,JTEBU5JR7L5790715,4wd,SUV,black,1.0
5000,gmc,envoy,good,6 cylinders,gas,123000.0,clean,automatic,1GKDT13S652272631,4wd,SUV,silver,16.0
33990,jeep,wranglersportsuv2d,good,6 cylinders,gas,7359.0,clean,other,1C4GJXAGXKW590790,4wd,other,white,2.0
24444,ford,f150stx,good,6 cylinders,other,50160.0,clean,automatic,1FTEX1CM7EKD66541,rwd,pickup,red,7.0
4555,chrysler,ptcruiser,excellent,4 cylinders,gas,182541.0,clean,automatic,3C4FY58B55T537205,fwd,hatchback,red,16.0
34995,gmc,sierra2500hd,good,8 cylinders,diesel,178800.0,clean,automatic,1GT125E81EF134398,4wd,truck,white,7.0
7749,mini,cooperhardtop,excellent,4 cylinders,gas,75402.0,clean,automatic,WMWSU3C53DT680659,fwd,hatchback,green,8.0
7995,hyundai,accentse,excellent,4 cylinders,gas,31691.0,rebuilt,automatic,KMHCT4AE3HU238768,fwd,sedan,grey,4.0
51990,chevrolet,corvettestingrayz51,good,8 cylinders,gas,7389.0,clean,other,1G1YH3D76F5119261,rwd,convertible,black,6.0
20900,chevrolet,corvette,good,8 cylinders,gas,49446.0,clean,manual,1G1YY32G635129822,fwd,convertible,black,18.0
13500,ford,mustang,excellent,8 cylinders,gas,71400.0,clean,automatic,1ZVFT82H275255570,rwd,coupe,grey,14.0
25990,chevrolet,camaroltcoupe2d,good,6 cylinders,gas,21938.0,clean,other,1G1FB1RS0L0113491,rwd,coupe,green,1.0
48900,ford,superdutyf250srw,excellent,8 cylinders,diesel,134000.0,clean,automatic,1FT7W2BT4FEA02443,4wd,truck,white,6.0
47590,chevrolet,silverado2500hdcrew,good,8 cylinders,gas,5591.0,clean,other,1GC4YLE71LF142795,4wd,pickup,white,1.0
11495,chevrolet,silverado1500,good,8 cylinders,gas,196433.0,clean,automatic,1GCRKSE01DZ326610,4wd,truck,silver,8.0
8990,ford,focus,excellent,4 cylinders,gas,59615.0,clean,automatic,1FADP3F21EL178695,fwd,sedan,black,7.0
35590,ram,1500crewcabbighorn,good,8 cylinders,gas,22401.0,clean,other,1C6RR7LT4HS667558,4wd,pickup,blue,4.0
5998,toyota,sienna,excellent,6 cylinders,gas,154000.0,clean,automatic,5TDZA23C76S497205,fwd,mini-van,silver,15.0
6488,ford,focus,good,4 cylinders,gas,130647.0,clean,automatic,1FADP3K20FL302785,fwd,hatchback,white,6.0
5950,toyota,corollale,good,4 cylinders,gas,143238.0,clean,automatic,1NXBU4EE0AZ284504,fwd,sedan,grey,11.0
59990,ford,superdutyf550drw,good,8 cylinders,diesel,31337.0,clean,automatic,1FD0X5HTXHEB33429,4wd,truck,white,4.0
11995,dodge,grandcaravan,good,6 cylinders,gas,67595.0,clean,automatic,2C4RDGBG5CR335859,fwd,van,silver,9.0
10900,ford,mustang,excellent,6 cylinders,gas,109268.0,clean,automatic,1ZVBP8EM8B5122333,rwd,convertible,black,10.0
6995,toyota,priusii,excellent,4 cylinders,gas,140800.0,clean,automatic,JTDKN3DU4C1544766,fwd,hatchback,white,9.0
37990,chevrolet,corvettegrandsport,good,8 cylinders,other,56302.0,clean,other,1G1YS3DW5A5103103,rwd,other,red,11.0
6495,ford,fusion,excellent,6 cylinders,gas,138917.0,clean,automatic,3FAHP0CG9AR340536,4wd,sedan,silver,11.0
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0
31995,ford,f250sd,excellent,8 cylinders,gas,91200.0,clean,automatic,1FT7W2B67EEA75475,4wd,truck,black,7.0
35990,ford,f150supercablariat,good,6 cylinders,other,20596.0,clean,other,1FTEX1EP1JFA54368,4wd,pickup,blue,3.0
25990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,28.0,clean,other,2C4RDGBG7KR782806,fwd,van,black,2.0
25600,ford,f150limited4x4,excellent,6 cylinders,gas,107000.0,clean,automatic,1FTFW1ET2EFC06216,4wd,truck,black,7.0
37995,chevrolet,silverado1500,excellent,8 cylinders,gas,93481.0,clean,automatic,3GCUKREC1HG277900,4wd,pickup,silver,4.0
31395,chevrolet,silverado1500lt4x4,excellent,8 cylinders,gas,115781.0,clean,automatic,1GCVKREC4GZ239810,4wd,truck,brown,5.0
20990,chrysler,300limitedsedan4d,good,6 cylinders,gas,32293.0,clean,other,2C3CCAAG6HH541670,rwd,sedan,black,4.0
19995,volkswagen,golfgti,excellent,4 cylinders,gas,54701.0,clean,automatic,3VW447AU4HM047473,fwd,hatchback,black,4.0
17995,ford,explorerlimited,excellent,6 cylinders,gas,86189.0,clean,automatic,1FM5K7F89EGC24285,fwd,SUV,grey,7.0
11900,toyota,sienna,excellent,6 cylinders,gas,115501.0,clean,automatic,5TDJK3DC1BS018821,4wd,wagon,grey,10.0
25990,dodge,chargersxtsedan4d,good,6 cylinders,gas,31154.0,clean,other,2C3CDXBG6KH672622,rwd,sedan,red,2.0
18200,mercedes-benz,cla,excellent,4 cylinders,gas,100000.0,clean,automatic,WDDSJ4GB0EN160822,4wd,sedan,red,7.0
12990,ram,1500slt4x4,good,8 cylinders,gas,143653.0,clean,automatic,1D3HV18T49S791263,4wd,pickup,silver,12.0
12999,cadillac,ats,excellent,4 cylinders,gas,101196.0,clean,automatic,1G6AA5RA7D0173274,rwd,sedan,black,8.0
18895,ford,flex,good,6 cylinders,gas,86208.0,clean,other,2FMHK6C81FBA21170,4wd,SUV,silver,6.0
11995,lincoln,mkx,excellent,6 cylinders,gas,127738.0,clean,automatic,2LMDJ6JK3DBL13162,fwd,SUV,black,8.0
9150,mercedes-benz,ml500,good,8 cylinders,gas,129520.0,clean,automatic,4JGBB75EX6A015233,4wd,SUV,silver,15.0
45300,ram,3500bighorn,excellent,6 cylinders,diesel,34125.0,rebuilt,automatic,3C63R3LL4JG236634,4wd,truck,black,3.0
10000,chevrolet,cruzelimited,excellent,4 cylinders,gas,99728.0,clean,automatic,1G1PE5SB1G7111243,fwd,sedan,white,5.0
8988,chevrolet,silverado1500,good,8 cylinders,gas,189000.0,clean,automatic,2GCEK19T511120997,4wd,truck,green,20.0
6950,volkswagen,tiguan,excellent,4 cylinders,gas,125495.0,clean,automatic,WVGBV7AX7AW537599,4wd,SUV,grey,11.0
19976,ford,transitvan,good,6 cylinders,gas,185964.0,clean,automatic,1FTBW2DG3HKA53947,rwd,van,red,4.0
39590,chevrolet,camarosscoupe2d,good,8 cylinders,gas,10496.0,clean,other,1G1FE1R71H0109878,rwd,coupe,white,4.0
37590,chevrolet,corvettegrandsport,good,8 cylinders,gas,42017.0,clean,other,1G1YW2DW4B5109555,rwd,coupe,red,10.0
10500,ford,f250,good,8 cylinders,diesel,190000.0,clean,manual,1FTSX21RX8EC31905,4wd,truck,black,13.0
44990,chevrolet,corvettestingray,good,8 cylinders,gas,22973.0,clean,other,1G1YF2D7XE5108892,rwd,coupe,black,7.0
10500,honda,crvlx,excellent,4 cylinders,gas,119000.0,clean,automatic,5J6RM4H38CL053821,4wd,SUV,red,9.0
18900,jeep,grandcherokee,excellent,6 cylinders,gas,68003.0,clean,automatic,1C4RJFAG4EC458360,4wd,SUV,black,7.0
13995,pontiac,solstice,like new,4 cylinders,gas,31444.0,clean,manual,1G2MG35X68Y101517,rwd,convertible,orange,13.0
13997,lexus,es350,excellent,6 cylinders,gas,71934.0,clean,automatic,JTHBJ46G772129139,fwd,sedan,silver,14.0
46995,gmc,sierra2500hd,good,8 cylinders,diesel,189470.0,clean,automatic,1GT12UEY7HF123923,4wd,truck,custom,4.0
7495,chevrolet,avalancheltz,good,8 cylinders,gas,203000.0,clean,automatic,3GNFK12377G294690,4wd,pickup,black,14.0
23500,ford,expedition,excellent,8 cylinders,gas,131000.0,clean,automatic,1FMJU2AT3FEF21296,4wd,SUV,black,6.0
8000,kia,sorento,excellent,6 cylinders,gas,133645.0,clean,automatic,5XYKWDA25CG234941,4wd,SUV,white,9.0
16995,ford,explorer,excellent,6 cylinders,gas,95000.0,clean,automatic,1FM5K7D89EGB89508,4wd,SUV,grey,7.0
11900,toyota,highlander,good,6 cylinders,gas,114673.0,clean,automatic,JTEDS43A682032258,rwd,SUV,blue,13.0
7975,ford,focus,excellent,4 cylinders,gas,97715.0,clean,automatic,1FADP3K28GL374903,fwd,hatchback,white,5.0
54988,porsche,718cayman6speedmanual,excellent,4 cylinders,gas,15614.0,clean,manual,WP0AA2A85HS270472,rwd,coupe,white,4.0
13999,bmw,x6,excellent,6 cylinders,gas,162990.0,clean,automatic,5UXFG43539L223678,4wd,SUV,blue,12.0
7999,subaru,outback25i,excellent,4 cylinders,gas,163118.0,clean,automatic,4S4BRBJC8B3354437,4wd,wagon,blue,10.0
25990,gmc,acadiaslt2sportutility,good,6 cylinders,gas,70640.0,clean,other,1GKKNNLS8KZ159484,fwd,SUV,white,2.0
150000,ford,escape,good,4 cylinders,gas,182415.0,clean,automatic,1FMCU03789KA32590,fwd,SUV,custom,12.0
39990,lexus,is350fsportsedan4d,good,6 cylinders,gas,8820.0,clean,other,JTHGZ1B26L5035835,rwd,sedan,white,1.0
38590,mercedes-benz,cclassc63amg,good,8 cylinders,gas,39558.0,clean,automatic,WDDGJ7HB1EG206426,rwd,coupe,black,7.0
19500,gmc,acadia,excellent,6 cylinders,gas,83000.0,clean,automatic,1GKKVRKD5FJ316208,4wd,SUV,silver,6.0
5995,chrysler,200limitednavigation,excellent,6 cylinders,gas,129610.0,clean,automatic,1C3BC2FG1BN518290,fwd,sedan,black,10.0
18500,subaru,imprezawrx,excellent,4 cylinders,gas,88950.0,clean,other,JF1GV7E67CG003050,4wd,sedan,white,9.0
18900,chevrolet,3500cutawaybox,excellent,8 cylinders,gas,93630.0,clean,automatic,1GB0GRFF2G1127336,rwd,truck,white,5.0
34990,jeep,grandcherokeetrailhawk,good,6 cylinders,gas,37509.0,clean,other,1C4RJFLG1JC138453,4wd,other,black,3.0
28995,mercedes-benz,glclass,excellent,8 cylinders,gas,118492.0,clean,automatic,4JGDF7DE3FA464817,4wd,SUV,white,6.0
8490,honda,crvlx4wdat,excellent,4 cylinders,gas,141366.0,clean,automatic,JHLRE48398C076019,4wd,SUV,blue,13.0
13500,ford,superdutyf350srw,good,8 cylinders,gas,34000.0,clean,automatic,1FTWF31568EE48875,4wd,pickup,red,13.0
17300,dodge,grandcaravangt,like new,6 cylinders,gas,44100.0,clean,automatic,2C4RDGEG7KR687836,fwd,mini-van,white,2.0
49900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,64777.0,clean,automatic,1GC1KVEY8HF138842,fwd,truck,white,4.0
13980,dodge,journeysxt,excellent,6 cylinders,gas,68475.0,clean,automatic,3C4PDCBG6GT153400,fwd,SUV,black,5.0
6499,toyota,sienna,excellent,6 cylinders,gas,153000.0,clean,automatic,5TDZA22C96S544171,fwd,van,silver,15.0
29900,chevrolet,suburbanls,good,8 cylinders,other,129481.0,clean,other,1GNSCHKC6FR201256,rwd,other,black,6.0
69900,ford,f250lariat4x4lifted67l,excellent,8 cylinders,diesel,60997.0,clean,automatic,1FT7W2BT2HEE69900,4wd,pickup,white,4.0
5995,honda,accordsdn,good,6 cylinders,gas,143342.0,clean,automatic,1HGCM66554A032628,fwd,sedan,white,17.0
38900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,132000.0,clean,automatic,1GC1KYC84CF110727,4wd,truck,silver,9.0
17995,bmw,650iconvertible,excellent,8 cylinders,gas,59870.0,clean,automatic,WBAEK13597CN82361,rwd,convertible,black,14.0
15800,ford,superdutyf350srw,good,8 cylinders,diesel,77000.0,clean,automatic,1FTWF31R18ED05979,4wd,pickup,grey,13.0
8000,lexus,es330,excellent,6 cylinders,gas,114809.0,clean,automatic,JTHBA30G055082924,fwd,sedan,blue,16.0
33675,rover,sport,good,6 cylinders,gas,72617.0,clean,automatic,SALWR2WF8EA395787,4wd,SUV,grey,7.0
13990,ford,f350,good,8 cylinders,gas,83262.0,clean,automatic,1FDSF30538EC23230,rwd,truck,white,13.0
1300,volkswagen,touareg,fair,8 cylinders,gas,159577.0,clean,automatic,WVGCM77LX4D084185,4wd,SUV,black,17.0
9488,hyundai,sonatase,excellent,4 cylinders,gas,97000.0,clean,automatic,5NPE24AF1GH395250,fwd,sedan,white,5.0
26590,nissan,titanxdsinglecabsv,good,8 cylinders,gas,47267.0,clean,other,1N6AA1RP0HN527085,4wd,pickup,white,4.0
4999,mazda,tributei4wd,excellent,6 cylinders,gas,95000.0,clean,automatic,4F2YZ92Z46KM33973,4wd,SUV,red,15.0
2995,nissan,xterrase,good,6 cylinders,gas,171064.0,clean,automatic,5N1AN08U05C655466,rwd,SUV,white,16.0
23990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,13337.0,clean,other,2C4RDGBG8KR805770,fwd,van,silver,2.0
9996,toyota,corolla,good,4 cylinders,gas,83160.0,clean,automatic,2T1BURHE6EC174637,fwd,sedan,silver,7.0
12938,honda,accordcpeex,good,4 cylinders,gas,112592.0,clean,automatic,1HGCT1B78DA014363,fwd,coupe,blue,8.0
6995,dodge,dart,good,4 cylinders,gas,78300.0,clean,automatic,1C3CDFBA1DD176293,fwd,sedan,blue,8.0
45000,toyota,tundra,excellent,8 cylinders,gas,26900.0,lien,automatic,5TFDY5F19JX739514,4wd,truck,white,3.0
6980,ford,f350,excellent,8 cylinders,gas,110412.0,clean,automatic,1FDWF30596EA56466,rwd,truck,white,15.0
20991,nissan,kicks,excellent,4 cylinders,gas,18894.0,clean,automatic,3N1CP5CU6KL492241,fwd,SUV,orange,2.0
16995,ford,transit,good,6 cylinders,gas,80384.0,clean,automatic,1FMZK1ZM3FKB33177,rwd,van,silver,6.0
7995,mazda,cx9,excellent,6 cylinders,gas,164056.0,clean,automatic,JM3TB2MA5A0210379,fwd,SUV,black,11.0
17995,ford,f150,excellent,8 cylinders,gas,126786.0,clean,automatic,1FTFW1EF6BKD36061,4wd,pickup,white,10.0
20900,jeep,compass,excellent,4 cylinders,gas,33622.0,rebuilt,automatic,3C4NJDDB2KT627326,4wd,SUV,red,2.0
8800,toyota,tacoma,excellent,4 cylinders,gas,174114.0,clean,manual,5TFNX4CN4CX010364,rwd,pickup,white,9.0
12000,bmw,x5,like new,6 cylinders,gas,116905.0,clean,automatic,5UXZV4C55BL740473,4wd,sedan,black,10.0
3500,dodge,stratusse,excellent,6 cylinders,gas,189888.0,clean,automatic,1B3EL46R22N311060,fwd,sedan,white,19.0
9999,mazda,mazda3,excellent,4 cylinders,gas,99091.0,clean,automatic,JM1BL1TG8D1749417,fwd,sedan,white,8.0
20590,chrysler,300limitedsedan4d,good,6 cylinders,gas,71021.0,clean,other,2C3CCAEG6JH123125,rwd,sedan,black,3.0
14995,chrysler,200limited,excellent,4 cylinders,gas,28124.0,clean,automatic,1C3CCCAB8GN167777,fwd,sedan,grey,5.0
35597,cadillac,xt5,excellent,6 cylinders,gas,31273.0,clean,automatic,1GYKNDRS3LZ187671,4wd,SUV,silver,1.0
4000,subaru,outbackxtlimited,good,4 cylinders,gas,134250.0,rebuilt,manual,4S4BP63C096312113,4wd,wagon,blue,12.0
2995,lincoln,towncar,good,8 cylinders,gas,156172.0,clean,automatic,1LNHM81W82Y614481,rwd,sedan,green,19.0
12900,kia,sedona,excellent,6 cylinders,gas,112996.0,clean,automatic,KNDMB5C13F6041810,fwd,van,custom,6.0
39990,jeep,wranglerunlimitedallnew,good,6 cylinders,other,15688.0,clean,other,1C4HJXDG8JW111006,4wd,other,silver,3.0
9986,nissan,rogue,excellent,4 cylinders,gas,87241.0,clean,automatic,JN8AS5MV2CW411326,4wd,wagon,white,9.0
19995,ford,f150,excellent,8 cylinders,gas,91000.0,clean,automatic,1FTFX1CF0DFA73934,rwd,truck,silver,8.0
16995,ford,explorer,excellent,6 cylinders,gas,115144.0,clean,automatic,1FMHK7F85BGA33133,fwd,SUV,grey,10.0
3750,hyundai,accent,good,4 cylinders,gas,105979.0,clean,automatic,KMHCN46C79U386697,fwd,sedan,custom,12.0
36990,lexus,rx350,excellent,6 cylinders,gas,19306.0,clean,automatic,2T2BZMCA8HC088867,4wd,SUV,white,4.0
13500,porsche,boxster,excellent,6 cylinders,gas,122723.0,clean,automatic,WP0CB29845U730151,rwd,convertible,blue,16.0
7000,toyota,highlander,excellent,6 cylinders,gas,108082.0,salvage,automatic,JTEDP21A460095117,fwd,SUV,red,15.0
4200,hyundai,santafelimitedawd,excellent,6 cylinders,gas,160000.0,clean,automatic,5NMSH73E57H046368,4wd,SUV,green,14.0
14488,bmw,5series,good,6 cylinders,gas,92382.0,clean,automatic,WBAFU7C56CDU58649,4wd,sedan,black,9.0
37995,ford,transit,excellent,6 cylinders,gas,32000.0,clean,automatic,1FTBR3X86LKA43875,rwd,van,white,1.0
6995,chevrolet,cruze2lt,excellent,4 cylinders,gas,113110.0,clean,automatic,1G1PG5SC3C7318990,fwd,sedan,black,9.0
13990,audi,a3,excellent,4 cylinders,gas,90864.0,clean,automatic,WAUACGFF0F1039669,fwd,sedan,black,6.0
9999,nissan,rogueawd,excellent,4 cylinders,gas,115805.0,clean,automatic,JN8AS5MV2DW636010,4wd,SUV,black,8.0
31590,jeep,wranglerunlimitedsport,good,6 cylinders,gas,43785.0,clean,other,1C4BJWDGXFL726178,4wd,other,green,6.0
16400,honda,crv,excellent,4 cylinders,gas,131545.0,clean,automatic,5J6RM4H71FL047835,4wd,SUV,silver,6.0
37990,toyota,tundradoublecabsr,good,8 cylinders,gas,22870.0,clean,other,5TFUM5F13GX069124,4wd,pickup,black,5.0
3995,toyota,corolla,good,4 cylinders,gas,177073.0,clean,automatic,JTDBR32E332011785,fwd,sedan,black,18.0
9995,chevrolet,traverse,good,6 cylinders,gas,112974.0,clean,automatic,1GNKRGEDXBJ366961,fwd,wagon,custom,10.0
17985,infiniti,jx35,like new,6 cylinders,gas,68234.0,clean,automatic,5N1AL0MM2DC352666,4wd,SUV,green,8.0
4750,subaru,legacyl,good,4 cylinders,gas,115661.0,clean,automatic,4S3BE635636212116,4wd,sedan,silver,18.0
14900,kia,sportage,excellent,4 cylinders,gas,75546.0,clean,automatic,KNDPBCAC0G7864373,4wd,SUV,grey,5.0
33990,mercedes-benz,eclasse63amg,good,8 cylinders,gas,88107.0,clean,automatic,WDDHF7EB7CA570344,rwd,sedan,white,9.0
12999,hyundai,veloster,excellent,4 cylinders,gas,78554.0,clean,automatic,KMHTC6AD2FU239829,fwd,coupe,red,6.0
3600,infiniti,g35x,excellent,6 cylinders,gas,165900.0,clean,automatic,JNKCV51FX6M614813,4wd,sedan,blue,15.0
2990,nissan,sentra18s,excellent,4 cylinders,gas,140589.0,clean,automatic,3N1CB51D14L481264,fwd,sedan,silver,17.0
22990,acura,rlxsedan4d,good,6 cylinders,gas,37367.0,clean,other,JH4KC1F54FC000615,fwd,sedan,silver,6.0
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0
10900,ford,f150,good,8 cylinders,gas,200066.0,clean,automatic,1FTFW1EV0AFD26723,4wd,truck,black,11.0
29990,chevrolet,coloradoextendedcab,good,6 cylinders,gas,17302.0,clean,other,1GCHTCE37G1186784,4wd,pickup,red,5.0
23990,chevrolet,silverado3500classic,good,8 cylinders,gas,32853.0,clean,automatic,1GBJC34U87E120320,rwd,truck,white,14.0
34995,chevrolet,silverado1500,like new,8 cylinders,gas,87132.0,clean,automatic,3GCUKRECXFG497050,4wd,truck,black,6.0
16999,chrysler,300,excellent,6 cylinders,gas,74465.0,clean,automatic,2C3CCAEG5GH252613,rwd,sedan,white,5.0
15999,toyota,camry,good,4 cylinders,gas,80110.0,clean,automatic,4T1BF1FK9HU788962,rwd,sedan,grey,4.0
30990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,38399.0,clean,other,2C3CDZBTXHH561296,rwd,coupe,black,4.0
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0
20900,audi,s5,excellent,8 cylinders,gas,80700.0,clean,automatic,WAUVVAFRXAA042672,4wd,coupe,black,11.0
18999,bmw,3series,excellent,4 cylinders,gas,34269.0,clean,automatic,WBA3B1C5XEP680439,rwd,sedan,black,7.0
9999,ford,focus,good,4 cylinders,gas,76525.0,clean,automatic,1FADP3N23GL383407,fwd,hatchback,silver,5.0
47988,jeep,wranglerunlimited,excellent,6 cylinders,gas,58887.0,clean,manual,1C4HJWFG3GL239199,4wd,SUV,black,5.0
32990,ford,mustanggtcoupe2d,good,8 cylinders,gas,27726.0,clean,other,1FA6P8CF8J5184067,rwd,coupe,red,3.0
19999,gmc,sierra1500,excellent,8 cylinders,gas,81000.0,clean,automatic,1GTR1VE07BZ321929,rwd,pickup,white,10.0
28590,chevrolet,blazer2ltsport,good,6 cylinders,gas,23252.0,clean,other,3GNKBCRS6LS618954,fwd,other,silver,1.0
7900,volkswagen,jettavi,good,4 cylinders,gas,91550.0,clean,automatic,3VWD17AJ7FM247680,fwd,sedan,blue,6.0
5995,chrysler,300,excellent,4 cylinders,gas,107315.0,clean,automatic,1C3CCBAB6EN123252,fwd,sedan,silver,7.0
15900,chevrolet,impala,excellent,6 cylinders,gas,70740.0,clean,automatic,2G1105S30H9183953,fwd,sedan,black,4.0
18999,nissan,titan,good,8 cylinders,gas,109911.0,clean,automatic,1N6AA0ED8FN505211,rwd,truck,grey,6.0
23965,subaru,outback25itouring,excellent,4 cylinders,gas,53377.0,clean,automatic,4S4BSATC1H3351150,4wd,hatchback,white,4.0
34990,gmc,canyoncrewcabslepickup,good,6 cylinders,gas,34425.0,clean,other,1GTG6CE36G1115577,4wd,pickup,red,5.0
39590,ford,mustanggtpremiumcoupe2d,good,8 cylinders,gas,1419.0,clean,other,1FA6P8CF5L5136223,rwd,coupe,white,1.0
36590,buick,enclaveessencesport,good,6 cylinders,gas,3993.0,clean,other,5GAERBKW4LJ317921,fwd,other,white,1.0
14998,honda,civicex,good,4 cylinders,gas,110462.0,clean,automatic,SHHFK7H51HU422397,fwd,hatchback,grey,4.0
11999,honda,civc,excellent,4 cylinders,gas,103090.0,clean,automatic,1VWBT7A30FC092572,fwd,sedan,black,9.0
2200,jeep,liberty,good,6 cylinders,gas,215000.0,clean,automatic,1J4GL58K43W730949,4wd,SUV,brown,18.0
17281,nissan,sentra,excellent,4 cylinders,gas,35159.0,clean,automatic,3N1AB7APXJY224731,fwd,sedan,black,3.0
31475,ram,2500,good,8 cylinders,gas,113267.0,clean,automatic,3C6UR5CJ1HG501924,4wd,truck,white,4.0
