price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp
14900,kia,sportage,excellent,4 cylinders,gas,75546.0,clean,automatic,KNDPBCAC0G7864373,4wd,SUV,grey,5.0,24800.0
33990,mercedes-benz,eclasse63amg,good,8 cylinders,gas,88107.0,clean,automatic,WDDHF7EB7CA570344,rwd,sedan,white,9.0,102000.0
12999,hyundai,veloster,excellent,4 cylinders,gas,78554.0,clean,automatic,KMHTC6AD2FU239829,fwd,coupe,red,6.0,19700.0
22990,acura,rlxsedan4d,good,6 cylinders,gas,37367.0,clean,other,JH4KC1F54FC000615,fwd,sedan,silver,6.0,60500.0
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0,39500.0
10900,ford,f150,good,8 cylinders,gas,200066.0,clean,automatic,1FTFW1EV0AFD26723,4wd,truck,black,11.0,36500.0
29990,chevrolet,coloradoextendedcab,good,6 cylinders,gas,17302.0,clean,other,1GCHTCE37G1186784,4wd,pickup,red,5.0,35700.0
23990,chevrolet,silverado3500classic,good,8 cylinders,gas,32853.0,clean,automatic,1GBJC34U87E120320,rwd,truck,white,14.0,36000.0
34995,chevrolet,silverado1500,like new,8 cylinders,gas,87132.0,clean,automatic,3GCUKRECXFG497050,4wd,truck,black,6.0,39400.0
16999,chrysler,300,excellent,6 cylinders,gas,74465.0,clean,automatic,2C3CCAEG5GH252613,rwd,sedan,white,5.0,41100.0
15999,toyota,camry,good,4 cylinders,gas,80110.0,clean,automatic,4T1BF1FK9HU788962,rwd,sedan,grey,4.0,25220.0
30990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,38399.0,clean,other,2C3CDZBTXHH561296,rwd,coupe,black,4.0,32295.0
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0,58355.0
20900,audi,s5,excellent,8 cylinders,gas,80700.0,clean,automatic,WAUVVAFRXAA042672,4wd,coupe,black,11.0,51000.0
9999,ford,focus,good,4 cylinders,gas,76525.0,clean,automatic,1FADP3N23GL383407,fwd,hatchback,silver,5.0,24300.0
32990,ford,mustanggtcoupe2d,good,8 cylinders,gas,27726.0,clean,other,1FA6P8CF8J5184067,rwd,coupe,red,3.0,42500.0
19999,gmc,sierra1500,excellent,8 cylinders,gas,81000.0,clean,automatic,1GTR1VE07BZ321929,rwd,pickup,white,10.0,32700.0
28590,chevrolet,blazer2ltsport,good,6 cylinders,gas,23252.0,clean,other,3GNKBCRS6LS618954,fwd,other,silver,1.0,35795.0
7900,volkswagen,jettavi,good,4 cylinders,gas,91550.0,clean,automatic,3VWD17AJ7FM247680,fwd,sedan,blue,6.0,22495.0
15900,chevrolet,impala,excellent,6 cylinders,gas,70740.0,clean,automatic,2G1105S30H9183953,fwd,sedan,black,4.0,30700.0
23965,subaru,outback25itouring,excellent,4 cylinders,gas,53377.0,clean,automatic,4S4BSATC1H3351150,4wd,hatchback,white,4.0,34600.0
34990,gmc,canyoncrewcabslepickup,good,6 cylinders,gas,34425.0,clean,other,1GTG6CE36G1115577,4wd,pickup,red,5.0,35500.0
39590,ford,mustanggtpremiumcoupe2d,good,8 cylinders,gas,1419.0,clean,other,1FA6P8CF5L5136223,rwd,coupe,white,1.0,42530.0
36590,buick,enclaveessencesport,good,6 cylinders,gas,3993.0,clean,other,5GAERBKW4LJ317921,fwd,other,white,1.0,43800.0
14998,honda,civicex,good,4 cylinders,gas,110462.0,clean,automatic,SHHFK7H51HU422397,fwd,hatchback,grey,4.0,22700.0
2200,jeep,liberty,good,6 cylinders,gas,215000.0,clean,automatic,1J4GL58K43W730949,4wd,SUV,brown,18.0,32200.0
31475,ram,2500,good,8 cylinders,gas,113267.0,clean,automatic,3C6UR5CJ1HG501924,4wd,truck,white,4.0,41400.0
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0,51715.0
3800,toyota,prius,good,4 cylinders,hybrid,255000.0,clean,automatic,JTDKB20UX57020904,fwd,hatchback,blue,16.0,23900.0
22250,nissan,leafsvplushatchback4d,excellent,other,electric,16450.0,clean,automatic,1N4BZ1CP6KC313090,fwd,hatchback,white,2.0,29990.0
16988,ram,promastercitycargovan,good,4 cylinders,gas,89068.0,clean,automatic,ZFBERFAB1H6D84092,fwd,van,white,4.0,23000.0
19900,chevrolet,colorado,excellent,4 cylinders,gas,77495.0,clean,automatic,1GCHSBEA7G1210089,rwd,truck,red,5.0,20500.0
13950,honda,pilot,excellent,6 cylinders,gas,152450.0,clean,manual,5FNYF4H69CB002708,4wd,SUV,blue,9.0,39995.0
36990,ford,f150supercrewcabxlt,good,6 cylinders,other,15443.0,clean,automatic,1FTEW1EG9HFC85502,4wd,pickup,red,4.0,45700.0
43990,ram,1500crewcabbighorn,good,8 cylinders,gas,17352.0,clean,other,1C6SRFFT7KN755503,4wd,pickup,black,2.0,45400.0
52900,gmc,sierra2500hd,excellent,8 cylinders,diesel,104000.0,clean,automatic,1GT12UE88GF101539,4wd,truck,black,5.0,65000.0
3900,toyota,camry,good,4 cylinders,gas,225661.0,clean,automatic,4T1BE32K65U526591,fwd,sedan,blue,16.0,22260.0
30990,lincoln,continentalselectsedan,good,6 cylinders,gas,25786.0,clean,other,1LN6L9SK1K5600547,fwd,sedan,silver,2.0,55000.0
16995,chevrolet,camaro,excellent,6 cylinders,gas,87392.0,clean,automatic,2G1FB1E3XD9159433,rwd,coupe,red,8.0,25000.0
6200,toyota,rav4,fair,4 cylinders,gas,172000.0,clean,automatic,JTMBD31V185182072,4wd,SUV,white,13.0,29200.0
27990,gmc,sierra2500hdextendedcab,good,8 cylinders,gas,68696.0,clean,other,1GT220CG8CZ231238,4wd,pickup,black,9.0,39500.0
35590,dodge,challengersrt8coupe2d,good,8 cylinders,gas,16796.0,clean,other,2B3CJ7DJ7BH589702,rwd,coupe,green,10.0,45000.0
13900,lexus,es350,excellent,6 cylinders,gas,62160.0,clean,automatic,JTHBJ46G092322381,fwd,sedan,black,12.0,35150.0
4495,ford,taurus,good,6 cylinders,gas,106364.0,clean,automatic,1FAFP52UX3G113961,fwd,sedan,grey,18.0,21495.0
6950,buick,lacrosse,good,6 cylinders,gas,81023.0,clean,automatic,2G4WD582981268820,fwd,other,blue,13.0,29125.0
6495,chevrolet,cruze,excellent,4 cylinders,gas,150608.0,clean,automatic,1G1PH5SC3C7117751,fwd,sedan,white,9.0,22380.0
31990,dodge,chargergtsedan4d,good,6 cylinders,other,10410.0,clean,other,2C3CDXHG7LH122869,rwd,sedan,white,1.0,34200.0
28590,jeep,grandcherokeelaredosport,good,6 cylinders,gas,22898.0,clean,other,1C4RJFAG2JC333416,4wd,other,black,3.0,34000.0
38990,ram,1500classiccrewcab,good,8 cylinders,other,6482.0,clean,other,1C6RR7KT9KS646990,4wd,pickup,white,2.0,42900.0
16995,toyota,camryhybridse,good,4 cylinders,electric,104263.0,clean,automatic,4T1BD1FK1GU191695,fwd,sedan,black,5.0,28600.0
51990,cadillac,escaladeesvpremium,good,8 cylinders,other,72367.0,clean,automatic,1GYS4JKJ6JR198941,4wd,SUV,black,3.0,83600.0
8950,honda,odysseyexl,good,6 cylinders,gas,164406.0,clean,automatic,5FNRL5H6XBB060957,fwd,mini-van,grey,10.0,34800.0
11990,chevrolet,silverado1500,good,8 cylinders,gas,146515.0,clean,automatic,1GCEK14058E126112,4wd,truck,white,13.0,32100.0
33995,ford,f150lariatsupercrew4x4,excellent,8 cylinders,gas,102019.0,clean,automatic,1FTEW1EF7FKF09197,4wd,truck,white,6.0,47000.0
11999,chrysler,townandcountry,good,6 cylinders,other,96589.0,clean,automatic,2C4RC1CG9DR759948,fwd,mini-van,silver,8.0,35500.0
29990,jeep,wranglersportsuv2d,good,6 cylinders,gas,28680.0,clean,other,1C4AJWAG4HL704941,4wd,other,black,4.0,30300.0
54995,mercedes-benz,gleclass,good,4 cylinders,gas,14426.0,clean,automatic,4JGFB4KB7LA079655,4wd,SUV,black,1.0,59000.0
29990,jeep,wranglersportsuv2d,good,6 cylinders,gas,28680.0,clean,other,1C4AJWAG4HL704941,4wd,other,black,4.0,29990.0
19900,toyota,camry,good,4 cylinders,gas,55292.0,clean,automatic,4T1B11HK4KU219844,fwd,sedan,grey,2.0,24100.0
29900,chevrolet,silverado1500,excellent,8 cylinders,gas,121317.0,clean,automatic,1GCVKREC8JZ171843,4wd,truck,silver,3.0,40300.0
9995,volkswagen,jetta14turbo,excellent,4 cylinders,gas,102000.0,clean,automatic,3VW267AJ1GM260984,fwd,sedan,silver,5.0,18300.0
6490,hyundai,velosterbase3drcoupe,excellent,4 cylinders,gas,106804.0,clean,automatic,KMHTC6AD2DU088973,fwd,coupe,red,8.0,18800.0
30750,lexus,gx460luxury,like new,8 cylinders,gas,99500.0,clean,automatic,JTJBM7FX2F5104511,4wd,SUV,silver,6.0,62800.0
8950,honda,crvexfwd,excellent,4 cylinders,gas,209745.0,clean,automatic,3CZRE38559G703428,fwd,SUV,red,12.0,24000.0
18499,chevrolet,corvette,excellent,8 cylinders,gas,65719.0,clean,manual,1G1YY22G915104498,rwd,coupe,silver,20.0,48500.0
28950,ram,3500,good,8 cylinders,gas,102000.0,clean,automatic,3C63R3CJ3FG591137,4wd,truck,grey,6.0,45900.0
5995,lexus,es300,good,6 cylinders,gas,162901.0,clean,automatic,JTHBF30G820040804,fwd,sedan,white,19.0,32500.0
8750,subaru,impreza,like new,4 cylinders,gas,115190.0,clean,automatic,JF1GPAA60CH202402,4wd,SUV,blue,9.0,18495.0
25990,dodge,challengerrtclassic,good,8 cylinders,gas,37374.0,clean,other,2C3CDYBT2EH136869,rwd,coupe,white,7.0,31395.0
42900,ford,superdutyf250srw,excellent,8 cylinders,diesel,145000.0,clean,automatic,1FT7W2BT2DEB73222,4wd,truck,black,8.0,53300.0
22500,dodge,durangolimited,excellent,6 cylinders,gas,89068.0,clean,automatic,1C4RDJDG1FC689997,4wd,pickup,silver,6.0,39500.0
26900,cadillac,xt5luxurypremium,like new,6 cylinders,gas,19700.0,rebuilt,automatic,1GYKNERS4KZ173816,fwd,SUV,red,2.0,51800.0
21995,ford,transitcargovan,good,6 cylinders,other,76751.0,clean,automatic,1FTNR1ZM1FKA84916,rwd,van,white,6.0,32300.0
2000,bmw,x3awd,excellent,6 cylinders,gas,143143.0,clean,automatic,WBXPA934X6WD25622,4wd,SUV,black,15.0,45000.0
23900,chevrolet,corvette,like new,8 cylinders,gas,35500.0,clean,automatic,1G1YY32G645125092,rwd,convertible,silver,17.0,50000.0
